image_1,15:33:33:1 ,0.02
image_2,15:33:33:2 ,0.02
image_3,15:33:33:3 ,0.03
image_4,15:33:33:4 ,0.02
image_5,15:33:33:5 ,0.01
image_6,15:33:33:6 ,0.01
image_7,15:33:33:7 ,0.02
image_8,15:33:33:8 ,0.04
image_9,15:33:33:9 ,0.03
image_10,15:33:34:0 ,0.03
image_11,15:33:34:1 ,0.05
image_12,15:33:34:2 ,0.03
image_13,15:33:34:3 ,0.03
image_14,15:33:34:4 ,0.06
image_15,15:33:34:5 ,0.06
image_16,15:33:34:6 ,0.03
image_17,15:33:34:7 ,0.03
image_18,15:33:34:8 ,0.02
image_19,15:33:34:9 ,-0.02
image_20,15:33:35:0 ,-0.01
image_21,15:33:35:1 ,-0.01
image_22,15:33:35:2 ,0.02
image_23,15:33:35:3 ,0.04
image_24,15:33:35:4 ,0.06
image_25,15:33:35:5 ,0.02
image_26,15:33:35:6 ,0.03
image_27,15:33:35:7 ,0.01
image_28,15:33:35:8 ,0.04
image_29,15:33:35:9 ,0.04
image_30,15:33:36:0 ,0.03
image_31,15:33:36:1 ,-0.04
image_32,15:33:36:2 ,0
image_33,15:33:36:3 ,-0.04
image_34,15:33:36:4 ,-0.04
image_35,15:33:36:5 ,0
image_36,15:33:36:6 ,0
image_37,15:33:36:7 ,0
image_38,15:33:36:8 ,-0.02
image_39,15:33:36:9 ,0
image_40,15:33:37:0 ,0
image_41,15:33:37:1 ,-0.03
image_42,15:33:37:2 ,-0.07
image_43,15:33:37:3 ,-0.05
image_44,15:33:37:4 ,-0.06
image_45,15:33:37:5 ,-0.05
image_46,15:33:37:6 ,0.03
image_47,15:33:37:7 ,0.01
image_48,15:33:37:8 ,-0.05
image_49,15:33:37:9 ,-0.03
image_50,15:33:38:0 ,-0.01
image_51,15:33:38:1 ,-0.05
image_52,15:33:38:2 ,-0.07
image_53,15:33:38:3 ,-0.03
image_54,15:33:38:4 ,-0.03
image_55,15:33:38:5 ,-0.03
image_56,15:33:38:6 ,0.01
image_57,15:33:38:7 ,0.02
image_58,15:33:38:8 ,-0.06
image_59,15:33:38:9 ,-0.01
image_60,15:33:39:0 ,-0.03
image_61,15:33:39:1 ,-0.05
image_62,15:33:39:2 ,-0.09
image_63,15:33:39:3 ,-0.07
image_64,15:33:39:4 ,-0.03
image_65,15:33:39:5 ,-0.05
image_66,15:33:39:6 ,-0.01
image_67,15:33:39:7 ,-0.02
image_68,15:33:39:8 ,-0.02
image_69,15:33:39:9 ,-0.04
image_70,15:33:40:0 ,-0.02
image_71,15:33:40:1 ,0.01
image_72,15:33:40:2 ,-0.1
image_73,15:33:40:3 ,-0.09
image_74,15:33:40:4 ,-0.07
image_75,15:33:40:5 ,-0.03
image_76,15:33:40:6 ,0.05
image_77,15:33:40:7 ,0.05
image_78,15:33:40:8 ,0.01
image_79,15:33:40:9 ,-0.05
image_80,15:33:41:0 ,-0.06
image_81,15:33:41:1 ,-0.05
image_82,15:33:41:2 ,-0.1
image_83,15:33:41:3 ,-0.03
image_84,15:33:41:4 ,0
image_85,15:33:41:5 ,0
image_86,15:33:41:6 ,0.05
image_87,15:33:41:7 ,0.07
image_88,15:33:41:8 ,-0.03
image_89,15:33:41:9 ,-0.01
image_90,15:33:42:0 ,-0.04
image_91,15:33:42:1 ,-0.08
image_92,15:33:42:2 ,-0.1
image_93,15:33:42:3 ,-0.03
image_94,15:33:42:4 ,-0.01
image_95,15:33:42:5 ,-0.02
image_96,15:33:42:6 ,0.04
image_97,15:33:42:7 ,0.01
image_98,15:33:42:8 ,-0.04
image_99,15:33:42:9 ,-0.02
image_100,15:33:43:0 ,-0.02
image_101,15:33:43:1 ,-0.05
image_102,15:33:43:2 ,-0.1
image_103,15:33:43:3 ,-0.02
image_104,15:33:43:4 ,-0.03
image_105,15:33:43:5 ,0.01
image_106,15:33:43:6 ,0.01
